"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex filifolia",-113.7609528,44.2101121,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073847841",NA,"PRESERVED_SPECIMEN",1983,7,6,"1983-07-06","WGS84",NA,"79190"
"Carex filifolia",-95.531366,45.534842,"cdc,gass84,ambcol","US",NA,"PRESENT",969,"MIN","2265495882","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=51875","PRESERVED_SPECIMEN",1982,5,14,"1982-05-14","WGS84",NA,"758114"
"Carex filifolia",-113.6517,49.7057,"osiic,colmano,inmafu","CA",1,"PRESENT",300,"University of Alberta Museums","883397240","https://search.museums.ualberta.ca/12-92665","PRESERVED_SPECIMEN",1982,5,14,"1982-05-14","WGS84","University of Alberta Vascular Plant Herbarium (ALTA-VP)","108081"
"Carex filifolia",-112.573,47.8208,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069879428",NA,"PRESERVED_SPECIMEN",1982,6,25,"1982-06-25","WGS84",NA,"91450"
"Carex filifolia",-112.8357,47.9782,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069927238",NA,"PRESERVED_SPECIMEN",1982,7,23,"1982-07-23","WGS84",NA,"90208"
"Carex filifolia",-96.31199,44.262808,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265495962","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=51874","PRESERVED_SPECIMEN",1981,5,10,"1981-05-10","WGS84",NA,"747482"
"Carex filifolia",-116.467989,52.011582,"osiic,colmano,inmafu","CA",1,"PRESENT",284,"University of Alberta Museums","986393772","https://search.museums.ualberta.ca/12-127284","PRESERVED_SPECIMEN",1981,6,21,"1981-06-21","WGS84","University of Alberta Vascular Plant Herbarium (ALTA-VP)","133354"
"Carex filifolia",-108.205678,43.582747,"ambcol","US",NA,"PRESENT",921,"KU","4404469422",NA,"PRESERVED_SPECIMEN",1980,5,31,"1980-05-31","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","432213"
"Carex filifolia",-119.132325,38.343191,"cdc,colmafu,inmafu","US",NA,"PRESENT",500,"RENO","4404866830","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13352671","PRESERVED_SPECIMEN",1980,6,28,"1980-06-28","WGS84",NA,"89325"
"Carex filifolia",-119.579292,38.309606,"cdc,colmafu,inmafu","US",NA,"PRESENT",301,"RENO","4404900409","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13354592","PRESERVED_SPECIMEN",1980,6,20,"1980-06-20","WGS84",NA,"89330"
"Carex filifolia",-96.312179,44.233753,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265495734","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=51873","PRESERVED_SPECIMEN",1980,6,26,"1980-06-26","WGS84",NA,"728339"
